time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.380939812337357e-06,0.00021645992593646884,0.10644277105700387,0.0568346446612642,6.282824388166351,0.0,-0.0002529491392055624,0.013361027715577041,0.21463927183205078,0.5269762978364487,-0.09788489960088709,0.0,-288.82043713223294,276.20094301798724,-588.5279091299178,620.3226647982563
0.12000000000000001,8.977287416243306e-06,0.0027400477633355656,0.12569499134437004,0.14412223032167226,6.276587262366402,0.0,0.0013570806157921415,0.08051814173438257,0.4262205055953344,1.0477907850151484,-0.19561274966424225,0.0,-288.82043713223294,276.20094301798724,-588.5279091299178,620.3226647982563
0.18,0.00029631411332270695,0.011507061610945064,0.1573611026384537,0.26015255787364033,6.2644802203269485,0.0,0.009543242138184856,0.22472240146410188,0.6268162307197613,1.5553408436006184,-0.2929302180660039,0.0,-288.82043713223294,276.20094301798724,-588.5279091299178,620.3226647982563
0.23999999999999996,0.0013919208579182276,0.03175674266383847,0.20038130762150658,0.40300298945895374,6.246524953049828,0.0,0.028989727735944097,0.4658837734262108,0.8020280973065939,2.0431895957219255,-0.38959042435556523,0.0,-288.82043713223294,276.20094301798724,-588.5279091299178,620.3226647982563
0.3,0.0041103539793941254,0.06976855683131129,0.25261595346268567,0.5706590414676773,6.222758267406816,0.0,0.06431412106963455,0.8183931110670293,0.9302242277168283,2.5058725412277916,-0.48535689450340697,0.0,-288.82043713223294,276.20094301798724,-588.5279091299178,620.3226647982563
0.36000000000000004,0.009539659924416348,0.13244962010168457,0.3104180837412222,0.7611082645399412,6.193231543500522,0.0,0.12000258121993035,1.2883351655774051,0.9829596988263783,2.93910395835993,-0.5800070313851916,0.0,-288.82043713223294,276.20094301798724,-588.5279091299178,620.3226647982563
0.4200000000000001,0.019030326772085788,0.22674469010560652,0.3682758593418952,0.9724021453306193,6.158009952618965,0.0,0.20029507544268338,1.870433236383124,0.926937207929464,3.339872164028637,-0.6733344625917891,0.0,-288.82043713223294,276.20094301798724,-588.5279091299178,620.3226647982563
0.48000000000000015,0.03417521935983122,0.35887096770906163,0.4186268965444417,1.202688856677855,6.117171496498006,0.0,0.3089967978623277,2.5453923443715967,0.7278110116249288,3.7064300959947887,-0.7651495855668132,0.0,-288.82043713223294,276.20094301798724,-588.5279091299178,620.3226647982563
0.5400000000000001,0.056775889369600326,0.5334321124328391,0.45195835533910683,1.450224675169582,6.0708059768079,0.0,0.44921678549018484,3.2787228877630596,0.3558787887837431,4.038200828424405,-0.8552777916517796,0.0,-288.82043713223294,276.20094301798724,-588.5279091299178,620.3226647982563
0.6000000000000002,0.08879281831557201,0.7525426025681372,0.4572910092275162,1.7133732317071768,6.019014045089374,0.0,0.6231149649257621,4.0224850892790345,-0.20698537233649317,4.335624360720743,-0.9435552961629091,0.0,-288.82043713223294,276.20094301798724,-588.5279091299178,620.3226647982563
0.6600000000000003,0.13228603941972242,1.0151773482023982,0.42307172907474366,1.990600309245659,5.961906498046652,0.0,0.8318783135103293,4.7211585843076636,-0.9610326386419239,4.599972234490513,-1.0298232320293028,0.0,-288.82043713223294,276.20094301798724,-588.5279091299178,620.3226647982563
0.7200000000000003,0.1893696037612884,1.3169930731221824,0.33834884345146166,2.2804691047341894,5.899603949675118,0.0,1.0762550744206052,5.321248301758227,-1.885983728962013,4.833151896752739,-1.1139215375208802,0.0,-288.82043713223294,276.20094301798724,-588.5279091299178,620.3226647982563
0.7800000000000004,0.26222065449866827,1.6507626710045036,0.19393047665159172,2.581638031426582,5.832236916825627,0.0,1.3578398047554088,5.7814316288611725,-2.9444283973971492,5.037515851158955,-1.195684882269228,0.0,-288.82043713223294,276.20094301798724,-588.5279091299178,620.3226647982563
0.8400000000000004,0.35318029524221556,2.007307453285324,0.0,2.8928610122553025,5.759946205355989,0.0,1.6807299425563778,6.078313479716914,-4.090256888501821,5.215684125615537,-1.2749430546030762,0.0,-288.82043713223294,276.20094301798724,-588.5279091299178,620.3226647982563
